0	0  0  0  0  -2.07508e-322
0.05	0.81461  0.796573  0.753384  0.806654  0.193302
0.1	1.35657  1.34715  1.29181  1.36875  0.677305
0.15	1.89852  1.89773  1.83024  1.93084  1.38623
0.2	2.0968  2.063  2.05003  2.14389  2.12567
0.25	2.29509  2.22827  2.26981  2.35693  2.88337
0.3	2.42197  2.34646  2.42124  2.51666  2.9841
0.35	2.54886  2.46465  2.57268  2.67638  1.88568
0.4	2.58976  2.55497  2.69259  2.75357  1.66588
0.45	2.63066  2.64528  2.81251  2.83076  0.422112
0.5	2.66085  2.69658  2.88455  2.89825  0.492156
0.55	2.69104  2.74789  2.9566  2.96575  0.560396
0.6	2.65363  2.69481  2.9131  2.93232  0.620905
0.65	2.61623  2.64173  2.86961  2.89888  0.680502
0.7	2.57685  2.565  2.79901  2.83859  0.717294
0.75	2.53747  2.48827  2.72842  2.77831  0.753929
0.8	2.55737  2.49533  2.74498  2.80466  0.799247
0.85	2.57727  2.50238  2.76153  2.83101  0.837455
0.9	2.48951  2.40798  2.6781  2.76286  0.867911
0.95	2.40176  2.31358  2.59468  2.69471  0.890007
1	2.33556  2.22409  2.49688  2.62249  0.902589
1.05	2.26936  2.1346  2.39908  2.55028  0.902809
1.1	2.22095  2.07535  2.33471  2.49534  0.875989
1.15	2.17254  2.0161  2.27034  2.4404  0.750845
1.2	2.0781  1.90379  2.15021  2.33557  0.189686
1.25	1.98367  1.79149  2.03008  2.23075  0
1.3	1.90041  1.71625  1.95836  2.15529  0
1.35	1.81715  1.64101  1.88663  2.07984  0
1.4	1.78465  1.61125  1.85694  2.05573  0
1.45	1.75215  1.58149  1.82724  2.03162  0
1.5	1.69474  1.53857  1.78836  1.98609  0
1.55	1.63733  1.49564  1.74949  1.94055  0
1.6	1.60021  1.45684  1.7103  1.90438  0
1.65	1.56309  1.41805  1.67112  1.86822  0
1.7	1.51799  1.37364  1.62399  1.8214  0
1.75	1.47289  1.32922  1.57687  1.77458  0
1.8	1.4268  1.28207  1.52621  1.72454  0
1.85	1.38072  1.23491  1.47554  1.6745  0
1.9	1.33216  1.18654  1.42423  1.62387  0
1.95	1.28361  1.13817  1.37293  1.57325  0
