0.00  0
0.05  0.566
0.10  1.81  
0.15  3.48
0.20  4.27
0.25  4.46
0.30  5.41
0.35  4.08  
0.40  4.04   
0.45  2.87
0.50  3.03   
0.55  3.058
0.60  3.085
0.65  3.1125
0.70  3.14 
0.75  3.1625  
0.80  3.185
0.85  3.2075
0.90  3.23 
0.95  3.17  
1.00  3.11
1.05  3.09
1.10  3.0735
1.15  3.055
1.20  2.21
1.25  2.06 
1.30  1.77 
1.35  1.725
1.40  1.68
1.45  1.635
1.50  1.59                                                 
1.55  1.5625 
1.60  1.535   
1.65  1.5075
1.70  1.48 
1.75  1.45
1.80  1.42 
1.85  1.39
1.90  1.36 
1.95  1.33
2.00  1.30 
