1  5.6  267.4
2  7.4  267.4
3  13.5  267.4
4  20.0  267.4
5  27.5  267.4
6  34.5  267.4
7  42.5  267.4
8  50.5  267.4
9  59.0  267.4
10  67.5  267.4
11  75.5  267.4
12  84.0  267.4
13  90.0  267.4
14  96.0  267.4
15  104.5  267.4
16  112.5  267.4
17  121.0  267.4
18  129.5  267.4
19  137.5  267.4
20  145.5  267.4
21  152.5  267.4
22  160.0  267.4
23  166.5  267.4
24  170.2  267.4
25  172.3  266.4
26  173.8  264.4
27  175.3  259.4
28  176.6  250.4
29  176.6  140.4
30  175.3  131.4
31  173.8  126.4
32  172.3  124.4
33  170.2  123.4
34  166.5  123.4
35  160.0  123.4
36  152.5  123.4
37  145.5  123.4
38  137.5  123.4
39  129.5  123.4
40  121.0  123.4
41  112.5  123.4
42  104.5  123.4
43  96.0  123.4
44  90.0  123.4
45  84.0  123.4
46  75.5  123.4
47  67.5  123.4
48  59.0  123.4
49  50.5  123.4
50  42.5  123.4
51  34.5  123.4
52  27.5  123.4
53  20.0  123.4
54  13.5  123.4
55  7.4  123.4
56  5.6  123.4
